,Data,N-day,S-day,T-day,S minus
125,1986-05-06,0.0,0.0,0.0,0.0
126,1986-05-07,0.0,0.0,0.0,0.0
127,1986-05-08,0.0,0.0,0.0,0.0
128,1986-05-09,0.0,0.0,0.0,0.0
129,1986-05-10,0.0,0.0,0.0,0.0
130,1986-05-11,0.0,0.0,0.0,0.0
131,1986-05-12,0.0,0.0,0.0,0.0
132,1986-05-13,0.38,0.0,0.38,0.0
133,1986-05-14,0.0,0.0,0.0,0.0
134,1986-05-15,0.0,0.0,0.0,0.0
135,1986-05-16,0.19,0.21,0.41,-0.21
136,1986-05-17,3.06,0.0,3.06,0.0
137,1986-05-18,0.0,0.0,0.0,0.0
138,1986-05-19,0.55,0.0,0.55,0.0
139,1986-05-20,1.19,0.0,1.19,0.0
140,1986-05-21,1.73,0.0,1.73,0.0
141,1986-05-22,0.45,0.0,0.45,0.0
142,1986-05-23,0.17,0.0,0.17,0.0
143,1986-05-24,2.7,0.0,2.7,0.0
144,1986-05-25,2.26,0.0,2.26,0.0
145,1986-05-26,2.47,0.0,2.47,0.0
146,1986-05-27,1.58,0.73,2.31,-0.73
147,1986-05-28,0.19,0.0,0.19,0.0
148,1986-05-29,0.0,0.4,0.4,-0.4
149,1986-05-30,0.0,0.0,0.0,0.0
150,1986-05-31,0.0,1.69,1.69,-1.69
151,1986-06-01,0.0,0.0,0.0,0.0
152,1986-06-02,0.0,0.0,0.0,0.0
153,1986-06-03,0.0,0.0,0.0,0.0
154,1986-06-04,0.0,0.0,0.0,0.0
155,1986-06-05,0.0,0.0,0.0,0.0
156,1986-06-06,0.0,0.0,0.0,0.0
157,1986-06-07,0.0,0.0,0.0,0.0
158,1986-06-08,0.0,0.0,0.0,0.0
159,1986-06-09,0.0,0.0,0.0,0.0
160,1986-06-10,0.0,0.0,0.0,0.0
161,1986-06-11,0.0,0.0,0.0,0.0
162,1986-06-12,0.0,0.0,0.0,0.0
163,1986-06-13,0.71,0.0,0.71,0.0
164,1986-06-14,0.0,0.0,0.0,0.0
165,1986-06-15,0.0,0.0,0.0,0.0
166,1986-06-16,0.0,0.0,0.0,0.0
167,1986-06-17,0.0,0.0,0.0,0.0
168,1986-06-18,0.0,0.0,0.0,0.0
169,1986-06-19,0.0,0.0,0.0,0.0
170,1986-06-20,0.0,0.0,0.0,0.0
171,1986-06-21,0.0,0.0,0.0,0.0
172,1986-06-22,0.0,0.0,0.0,0.0
173,1986-06-23,0.0,0.0,0.0,0.0
174,1986-06-24,0.0,0.0,0.0,0.0
175,1986-06-25,0.69,0.0,0.69,0.0
176,1986-06-26,0.0,0.0,0.0,0.0
177,1986-06-27,0.0,0.0,0.0,0.0
178,1986-06-28,0.0,0.0,0.0,0.0
179,1986-06-29,0.0,0.0,0.0,0.0
180,1986-06-30,0.0,0.0,0.0,0.0
181,1986-07-01,0.0,0.0,0.0,0.0
182,1986-07-02,0.0,0.0,0.0,0.0
183,1986-07-03,0.5,0.0,0.5,0.0
184,1986-07-04,0.0,0.0,0.0,0.0
185,1986-07-05,2.67,0.0,2.67,0.0
186,1986-07-06,5.36,0.0,5.36,0.0
187,1986-07-07,0.21,0.0,0.21,0.0
188,1986-07-08,0.83,0.0,0.83,0.0
189,1986-07-09,0.0,0.0,0.0,0.0
190,1986-07-10,1.93,0.0,1.93,0.0
191,1986-07-11,2.0,0.0,2.0,0.0
192,1986-07-12,1.58,1.13,2.71,-1.13
193,1986-07-13,3.91,0.0,3.91,0.0
194,1986-07-14,0.0,0.19,0.19,-0.19
195,1986-07-15,0.24,0.0,0.24,0.0
196,1986-07-16,0.0,0.0,0.0,0.0
197,1986-07-17,0.0,0.0,0.0,0.0
198,1986-07-18,0.0,0.0,0.0,0.0
199,1986-07-19,0.2,0.0,0.2,0.0
200,1986-07-20,0.19,0.0,0.19,0.0
201,1986-07-21,0.0,0.0,0.0,0.0
202,1986-07-22,0.0,0.0,0.0,0.0
203,1986-07-23,0.0,0.0,0.0,0.0
204,1986-07-24,0.0,0.0,0.0,0.0
205,1986-07-25,0.0,0.0,0.0,0.0
206,1986-07-26,0.0,0.0,0.0,0.0
207,1986-07-27,0.0,0.0,0.0,0.0
208,1986-07-28,2.08,0.0,2.08,0.0
209,1986-07-29,3.65,0.0,3.65,0.0
210,1986-07-30,0.83,0.0,0.83,0.0
211,1986-07-31,0.48,0.0,0.48,0.0
212,1986-08-01,1.17,0.0,1.17,0.0
213,1986-08-02,0.0,0.0,0.0,0.0
214,1986-08-03,0.63,0.0,0.63,0.0
215,1986-08-04,0.74,0.0,0.74,0.0
216,1986-08-05,0.54,0.0,0.54,0.0
217,1986-08-06,0.19,0.0,0.19,0.0
218,1986-08-07,0.0,0.0,0.0,0.0
219,1986-08-08,0.55,0.0,0.55,0.0
220,1986-08-09,0.0,0.0,0.0,0.0
221,1986-08-10,0.0,0.0,0.0,0.0
222,1986-08-11,0.0,0.0,0.0,0.0
223,1986-08-12,0.0,0.0,0.0,0.0
224,1986-08-13,0.0,0.0,0.0,0.0
225,1986-08-14,0.0,0.0,0.0,0.0
226,1986-08-15,0.0,0.0,0.0,0.0
227,1986-08-16,0.0,0.0,0.0,0.0
228,1986-08-17,0.0,0.0,0.0,0.0
229,1986-08-18,0.0,0.0,0.0,0.0
230,1986-08-19,0.0,0.0,0.0,0.0
231,1986-08-20,0.0,0.0,0.0,0.0
232,1986-08-21,0.0,0.0,0.0,0.0
233,1986-08-22,0.0,0.0,0.0,0.0
234,1986-08-23,0.0,0.0,0.0,0.0
235,1986-08-24,0.0,0.0,0.0,0.0
236,1986-08-25,0.0,0.0,0.0,0.0
237,1986-08-26,0.0,0.0,0.0,0.0
238,1986-08-27,0.0,0.0,0.0,0.0
239,1986-08-28,0.0,0.0,0.0,0.0
240,1986-08-29,0.0,0.0,0.0,0.0
241,1986-08-30,0.0,0.0,0.0,0.0
242,1986-08-31,0.0,0.0,0.0,0.0
243,1986-09-01,0.0,0.0,0.0,0.0
244,1986-09-02,0.0,0.0,0.0,0.0
245,1986-09-03,0.0,0.0,0.0,0.0
246,1986-09-04,0.0,0.0,0.0,0.0
247,1986-09-05,0.0,0.0,0.0,0.0
248,1986-09-06,1.23,0.0,1.23,0.0
249,1986-09-07,0.7,0.0,0.7,0.0
250,1986-09-08,2.46,0.0,2.46,0.0
251,1986-09-09,0.0,0.0,0.0,0.0
252,1986-09-10,0.0,0.0,0.0,0.0
253,1986-09-11,0.0,0.0,0.0,0.0
254,1986-09-12,0.0,0.0,0.0,0.0
255,1986-09-13,0.0,0.0,0.0,0.0
256,1986-09-14,0.21,0.0,0.21,0.0
257,1986-09-15,0.0,0.0,0.0,0.0
258,1986-09-16,0.0,0.0,0.0,0.0
259,1986-09-17,0.0,0.0,0.0,0.0
260,1986-09-18,0.0,0.0,0.0,0.0
261,1986-09-19,0.0,0.0,0.0,0.0
262,1986-09-20,0.0,0.0,0.0,0.0
263,1986-09-21,0.0,0.0,0.0,0.0
264,1986-09-22,0.0,0.0,0.0,0.0
265,1986-09-23,0.0,0.0,0.0,0.0
266,1986-09-24,0.0,0.0,0.0,0.0
267,1986-09-25,0.0,0.0,0.0,0.0
268,1986-09-26,0.0,0.0,0.0,0.0
269,1986-09-27,0.0,0.0,0.0,0.0
270,1986-09-28,0.0,0.0,0.0,0.0
271,1986-09-29,0.0,0.0,0.0,0.0
272,1986-09-30,0.0,0.0,0.0,0.0
273,1986-10-01,0.51,0.0,0.51,0.0
274,1986-10-02,0.25,0.0,0.25,0.0
275,1986-10-03,0.34,0.0,0.34,0.0
276,1986-10-04,0.0,0.0,0.0,0.0
277,1986-10-05,0.0,0.0,0.0,0.0
278,1986-10-06,1.17,0.29,1.46,-0.29
279,1986-10-07,1.54,0.0,1.54,0.0
280,1986-10-08,1.13,0.0,1.13,0.0
281,1986-10-09,0.36,1.45,1.81,-1.45
282,1986-10-10,0.0,0.0,0.0,0.0
283,1986-10-11,1.34,0.74,2.07,-0.74
284,1986-10-12,0.0,1.58,1.58,-1.58
285,1986-10-13,0.1,0.35,0.46,-0.35
286,1986-10-14,0.0,0.0,0.0,0.0
287,1986-10-15,0.33,0.0,0.33,0.0
288,1986-10-16,0.88,0.0,0.88,0.0
289,1986-10-17,3.58,0.0,3.58,0.0
290,1986-10-18,7.56,0.0,7.56,0.0
291,1986-10-19,10.29,0.0,10.29,0.0
292,1986-10-20,3.33,0.0,3.33,0.0
293,1986-10-21,0.61,0.0,0.61,0.0
294,1986-10-22,2.58,0.26,2.84,-0.26
295,1986-10-23,4.08,7.36,11.44,-7.36
296,1986-10-24,6.85,0.0,6.85,0.0
297,1986-10-25,4.42,0.0,4.42,0.0
298,1986-10-26,1.2,1.13,2.33,-1.13
299,1986-10-27,2.56,0.18,2.74,-0.18
300,1986-10-28,0.63,1.46,2.08,-1.46
301,1986-10-29,0.17,0.24,0.41,-0.24
302,1986-10-30,0.87,0.87,1.75,-0.87
303,1986-10-31,3.0,0.17,3.17,-0.17
304,1986-11-01,6.98,0.0,6.98,0.0
305,1986-11-02,0.61,1.1,1.71,-1.1
306,1986-11-03,0.0,0.0,0.0,0.0
307,1986-11-04,1.55,1.72,3.26,-1.72
308,1986-11-05,1.58,0.0,1.58,0.0
309,1986-11-06,5.06,0.15,5.21,-0.15
310,1986-11-07,0.41,0.0,0.41,0.0
311,1986-11-08,0.21,0.0,0.21,0.0
312,1986-11-09,0.0,0.0,0.0,0.0
313,1986-11-10,0.0,0.0,0.0,0.0
314,1986-11-11,0.0,0.0,0.0,0.0
315,1986-11-12,0.0,0.0,0.0,0.0
316,1986-11-13,0.13,0.0,0.13,0.0
317,1986-11-14,0.0,0.0,0.0,0.0
318,1986-11-15,0.45,0.0,0.45,0.0
319,1986-11-16,0.0,0.0,0.0,0.0
320,1986-11-17,0.23,0.0,0.23,0.0
321,1986-11-18,0.0,0.0,0.0,0.0
322,1986-11-19,0.02,0.0,0.02,0.0
323,1986-11-20,2.74,0.0,2.74,0.0
324,1986-11-21,0.0,0.0,0.0,0.0
325,1986-11-22,0.0,0.0,0.0,0.0
326,1986-11-23,0.3,1.31,1.61,-1.31
327,1986-11-24,0.0,0.44,0.44,-0.44
328,1986-11-25,0.0,0.0,0.0,0.0
329,1986-11-26,0.49,0.0,0.49,0.0
330,1986-11-27,0.0,0.0,0.0,0.0
331,1986-11-28,0.0,0.34,0.34,-0.34
332,1986-11-29,0.0,0.0,0.0,0.0
333,1986-11-30,0.0,0.0,0.0,0.0
334,1986-12-01,0.0,0.0,0.0,0.0
335,1986-12-02,0.0,0.0,0.0,0.0
336,1986-12-03,0.0,0.0,0.0,0.0
337,1986-12-04,0.0,0.0,0.0,0.0
338,1986-12-05,0.0,0.0,0.0,0.0
339,1986-12-06,0.0,0.0,0.0,0.0
340,1986-12-07,0.0,0.0,0.0,0.0
341,1986-12-08,0.0,0.0,0.0,0.0
342,1986-12-09,0.0,0.0,0.0,0.0
343,1986-12-10,0.0,0.19,0.19,-0.19
344,1986-12-11,0.0,0.0,0.0,0.0
345,1986-12-12,0.11,0.72,0.82,-0.72
346,1986-12-13,0.0,0.0,0.0,0.0
347,1986-12-14,0.0,0.0,0.0,0.0
348,1986-12-15,0.0,0.0,0.0,0.0
349,1986-12-16,0.0,3.29,3.29,-3.29
350,1986-12-17,0.0,0.0,0.0,0.0
351,1986-12-18,0.0,0.0,0.0,0.0
352,1986-12-19,0.0,0.0,0.0,0.0
353,1986-12-20,0.0,0.0,0.0,0.0
354,1986-12-21,0.0,3.12,3.12,-3.12
355,1986-12-22,0.0,0.0,0.0,0.0
356,1986-12-23,0.0,0.07,0.07,-0.07
357,1986-12-24,0.17,0.0,0.17,0.0
358,1986-12-25,0.0,0.0,0.0,0.0
359,1986-12-26,0.0,0.0,0.0,0.0
360,1986-12-27,0.0,0.0,0.0,0.0
361,1986-12-28,0.0,0.0,0.0,0.0
362,1986-12-29,0.0,0.0,0.0,0.0
363,1986-12-30,0.0,0.0,0.0,0.0
364,1986-12-31,0.0,0.0,0.0,0.0
365,1987-01-01,3.78,0.0,3.78,0.0
366,1987-01-02,0.0,0.0,0.0,0.0
367,1987-01-03,0.0,0.0,0.0,0.0
368,1987-01-04,0.0,0.0,0.0,0.0
369,1987-01-05,0.0,0.0,0.0,0.0
370,1987-01-06,0.0,0.0,0.0,0.0
371,1987-01-07,0.0,0.0,0.0,0.0
372,1987-01-08,0.0,0.0,0.0,0.0
373,1987-01-09,0.0,0.0,0.0,0.0
374,1987-01-10,0.0,0.0,0.0,0.0
375,1987-01-11,0.0,0.0,0.0,0.0
376,1987-01-12,0.0,0.0,0.0,0.0
377,1987-01-13,0.0,0.0,0.0,0.0
378,1987-01-14,0.0,0.0,0.0,0.0
379,1987-01-15,0.0,0.0,0.0,0.0
380,1987-01-16,0.0,0.0,0.0,0.0
381,1987-01-17,0.0,0.92,0.92,-0.92
382,1987-01-18,0.0,0.5,0.5,-0.5
383,1987-01-19,0.0,0.0,0.0,0.0
384,1987-01-20,0.0,0.0,0.0,0.0
385,1987-01-21,0.0,1.9,1.9,-1.9
386,1987-01-22,0.0,4.11,4.11,-4.11
387,1987-01-23,0.0,1.81,1.81,-1.81
388,1987-01-24,0.0,0.0,0.0,0.0
389,1987-01-25,0.0,0.81,0.81,-0.81
390,1987-01-26,0.0,1.33,1.33,-1.33
391,1987-01-27,0.0,0.0,0.0,0.0
392,1987-01-28,0.0,0.0,0.0,0.0
393,1987-01-29,0.0,0.0,0.0,0.0
394,1987-01-30,0.0,0.0,0.0,0.0
395,1987-01-31,0.0,0.0,0.0,0.0
396,1987-02-01,0.0,0.0,0.0,0.0
397,1987-02-02,0.0,0.0,0.0,0.0
398,1987-02-03,0.0,0.0,0.0,0.0
399,1987-02-04,0.0,0.0,0.0,0.0
400,1987-02-05,0.0,0.0,0.0,0.0
401,1987-02-06,0.0,0.0,0.0,0.0
402,1987-02-07,0.0,0.0,0.0,0.0
403,1987-02-08,0.0,0.0,0.0,0.0
404,1987-02-09,0.0,0.0,0.0,0.0
405,1987-02-10,0.0,0.0,0.0,0.0
406,1987-02-11,0.0,0.0,0.0,0.0
407,1987-02-12,0.0,0.0,0.0,0.0
408,1987-02-13,0.0,0.0,0.0,0.0
