,Data,N-day,S-day,T-day,S minus
0,1976-01-01,0.0,0.31,0.31,-0.31
1,1976-01-02,0.0,0.0,0.0,0.0
2,1976-01-03,0.0,0.0,0.0,0.0
3,1976-01-04,0.0,0.0,0.0,0.0
4,1976-01-05,0.55,0.0,0.55,0.0
5,1976-01-06,0.0,0.0,0.0,0.0
6,1976-01-07,0.0,0.0,0.0,0.0
7,1976-01-08,0.0,0.0,0.0,0.0
8,1976-01-09,0.0,0.0,0.0,0.0
9,1976-01-10,0.0,0.0,0.0,0.0
10,1976-01-11,0.0,5.32,5.32,-5.32
11,1976-01-12,0.0,9.65,9.65,-9.65
12,1976-01-13,0.0,1.08,1.08,-1.08
13,1976-01-14,0.0,3.98,3.98,-3.98
14,1976-01-15,0.0,1.21,1.21,-1.21
15,1976-01-16,0.0,0.31,0.31,-0.31
16,1976-01-17,0.0,0.58,0.58,-0.58
17,1976-01-18,0.0,1.34,1.34,-1.34
18,1976-01-19,0.0,2.69,2.69,-2.69
19,1976-01-20,0.0,1.2,1.2,-1.2
20,1976-01-21,0.0,0.23,0.23,-0.23
21,1976-01-22,0.0,0.0,0.0,0.0
22,1976-01-23,0.0,0.0,0.0,0.0
23,1976-01-24,0.0,0.0,0.0,0.0
24,1976-01-25,0.0,0.0,0.0,0.0
25,1976-01-26,0.0,0.0,0.0,0.0
26,1976-01-27,0.0,0.0,0.0,0.0
27,1976-01-28,1.21,0.49,1.7,-0.49
28,1976-01-29,0.41,0.0,0.41,0.0
29,1976-01-30,0.09,0.0,0.09,0.0
30,1976-01-31,0.0,0.0,0.0,0.0
31,1976-02-01,0.0,0.15,0.15,-0.15
32,1976-02-02,0.0,0.32,0.32,-0.32
33,1976-02-03,0.0,0.0,0.0,0.0
34,1976-02-04,0.0,0.0,0.0,0.0
35,1976-02-05,0.0,0.0,0.0,0.0
36,1976-02-06,0.0,0.0,0.0,0.0
37,1976-02-07,0.0,0.0,0.0,0.0
38,1976-02-08,0.0,0.0,0.0,0.0
39,1976-02-09,0.0,0.0,0.0,0.0
40,1976-02-10,0.21,0.0,0.21,0.0
41,1976-02-11,0.0,0.0,0.0,0.0
42,1976-02-12,0.0,0.41,0.41,-0.41
43,1976-02-13,0.0,0.35,0.35,-0.35
44,1976-02-14,0.0,0.09,0.09,-0.09
45,1976-02-15,0.0,0.18,0.18,-0.18
46,1976-02-16,0.0,0.22,0.22,-0.22
47,1976-02-17,0.0,0.16,0.16,-0.16
48,1976-02-18,0.0,0.0,0.0,0.0
49,1976-02-19,0.0,0.0,0.0,0.0
50,1976-02-20,0.0,1.03,1.03,-1.03
51,1976-02-21,0.0,0.32,0.32,-0.32
52,1976-02-22,0.0,0.0,0.0,0.0
53,1976-02-23,0.0,0.0,0.0,0.0
54,1976-02-24,0.0,0.0,0.0,0.0
55,1976-02-25,0.0,0.27,0.27,-0.27
56,1976-02-26,0.94,0.0,0.94,0.0
57,1976-02-27,0.0,0.0,0.0,0.0
58,1976-02-28,0.0,0.0,0.0,0.0
59,1976-02-29,0.0,0.0,0.0,0.0
60,1976-03-01,0.0,0.0,0.0,0.0
